feature,importance,importance_pct,cumulative_pct
text__flex,0.0010205031,0.10205031,95.170555
text__venta,0.0009958292,0.099582925,95.27014
text__talle,0.0009869842,0.09869842,95.36884
cat__category_id_MLA34325,0.00095980085,0.095980085,95.46482
cat__category_id_MLA1474,0.00094956526,0.094956525,95.55978
text__cuadro,0.0009429258,0.09429258,95.65407
text__liquido,0.00093459536,0.09345954,95.74753
text__envios,0.0009334801,0.09334801,95.84087
cat__buying_mode_auction,0.0009232492,0.09232492,95.9332
text__color,0.00091872946,0.091872945,96.02507
text__mini,0.00089006743,0.089006744,96.114075
text__pesos,0.0008304698,0.08304698,96.19712
text__mesa,0.0008050729,0.080507286,96.277626
text__uso,0.00079463824,0.079463825,96.357086
text__tapa dura,0.0007899221,0.07899221,96.43608
text__luna,0.0007793677,0.07793677,96.514015
text__10,0.0007654545,0.07654545,96.59056
text__años,0.00076180487,0.07618049,96.66674
text__volkswagen,0.0007548727,0.07548727,96.742226
text__manual,0.00073248445,0.073248446,96.815475
text__tipo,0.00069533533,0.069533534,96.88501
text__juego,0.0006812562,0.06812562,96.95313
text__cd,0.00068019296,0.06801929,97.02115
text__celular,0.00066395017,0.066395015,97.08755
text__peugeot,0.0006560522,0.06560522,97.15315
text__zapatillas,0.0006557017,0.06557017,97.21872
cat__category_id_MLA46607,0.00063455576,0.063455574,97.28217
text__mochila,0.00061374926,0.061374925,97.34355
text__sillas,0.0006102153,0.06102153,97.40457
text__megane,0.00060996716,0.060996715,97.46557
num__title_length,0.0006048537,0.060485367,97.526054
text__tarjeta,0.00059775,0.059775002,97.58583
text__live,0.00058172626,0.058172625,97.644005
text__departamento,0.00057048054,0.057048053,97.70105
text__samsung,0.00055965525,0.055965524,97.75702
text__25,0.0005499997,0.05499997,97.81202
num__local_pick_up,0.0005447695,0.05447695,97.86649
text__43,0.00054316246,0.054316245,97.92081
text__caja,0.00054158724,0.054158725,97.97497
text__madera,0.0005296697,0.052966967,98.02793
text__manga,0.00051918963,0.051918965,98.07985
cat__category_id_MLA370426,0.0005134507,0.051345073,98.131195
text__ed,0.00050621375,0.050621375,98.181816
num__title_word_count,0.00050137064,0.050137065,98.23196
text__iphone,0.00050123176,0.050123177,98.28208
text__edicion,0.0004904135,0.049041353,98.33112
num__has_official_store,0.000481233,0.0481233,98.37925
cat__category_id_MLA352542,0.00047986282,0.047986284,98.42724
text__chapa,0.00047174588,0.047174588,98.47441
text__nuevos,0.00046961024,0.046961024,98.52137
text__30,0.0004670325,0.046703253,98.56807
cat__category_id_MLA41145,0.00046644555,0.046644554,98.614716
text__mar,0.00046552523,0.046552524,98.66127
text__gratis,0.00046378656,0.046378657,98.70765
cat__category_id_MLA41115,0.00042862745,0.042862743,98.75051
cat__category_id_MLA322074,0.00042598773,0.042598773,98.79311
text__ambientes,0.00039641687,0.039641686,98.832756
text__discos,0.00039634202,0.0396342,98.87239
text__blanco,0.00037106624,0.037106626,98.9095
text__16v,0.00036713813,0.036713813,98.94621
cat__category_id_MLA15171,0.0003539883,0.03539883,98.98161
text__sellos,0.0003497147,0.034971472,99.01659
text__chevrolet,0.00034772552,0.034772553,99.05136
text__cars,0.00034765192,0.03476519,99.08613
text__tsuji,0.00033722815,0.033722814,99.11985
text__camiseta,0.0003353708,0.03353708,99.15339
num__num_descriptions,0.00032002284,0.032002285,99.185394
text__luz,0.00031400984,0.031400986,99.2168
text__premium,0.00030441195,0.030441195,99.24724
text__bomba agua,0.00028550596,0.028550595,99.27579
text__verano,0.00026082576,0.026082577,99.30187
text__original,0.00025978568,0.025978569,99.32785
text__hot wheels,0.00025735388,0.025735388,99.353584
text__tv,0.0002518833,0.025188329,99.37877
cat__category_id_MLA1996,0.00025139382,0.025139382,99.40391
text__75,0.0002394315,0.023943149,99.42785
text__box,0.00023562413,0.023562413,99.45141
text__disco,0.00023001304,0.023001304,99.47441
text__21,0.00022381045,0.022381045,99.496796
text__plata,0.00021488495,0.021488495,99.51829
text__dura,0.00020479472,0.020479472,99.538765
text__cuero,0.00020443615,0.020443615,99.55921
text__publicidad,0.00020387917,0.020387918,99.5796
text__hierro,0.00019847011,0.019847011,99.59944
text__completo,0.00019809492,0.019809492,99.61925
cat__category_id_MLA44020,0.00019791338,0.019791339,99.63904
text__nº,0.00018749983,0.018749982,99.65779
cat__category_id_MLA48817,0.00018375996,0.018375997,99.67617
text__guerra,0.00016770644,0.016770644,99.69294
text__nuevo cerrado,0.00016725824,0.016725825,99.70966
text__1980,0.00016419466,0.016419467,99.72608
text__super,0.00015912368,0.015912369,99.742
cat__category_id_MLA4686,0.0001563367,0.015633669,99.75763
text__argentina,0.00015584912,0.015584912,99.77322
text__promo,0.0001457242,0.01457242,99.78779
text__fiesta,0.00012982562,0.012982562,99.80077
